Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Edat_quinquennal,Nombre
2007,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,40-44 anys,137
2007,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,40-44 anys,150
2007,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,40-44 anys,57
2007,8,Nou Barris,52,la Prosperitat,Dona,35-39 anys,63
2007,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,40-44 anys,41
2007,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,40-44 anys,16
2007,4,Les Corts,21,Pedralbes,Dona,40-44 anys,16
2007,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,40-44 anys,62
2007,4,Les Corts,19,les Corts,Dona,40-44 anys,142
2007,3,Sants-Montjuïc,18,Sants,Dona,40-44 anys,182
2007,3,Sants-Montjuïc,17,Sants - Badal,Dona,40-44 anys,90
2007,3,Sants-Montjuïc,16,la Bordeta,Dona,40-44 anys,42
2007,3,Sants-Montjuïc,15,Hostafrancs,Dona,40-44 anys,72
2007,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,40-44 anys,39
2007,3,Sants-Montjuïc,13,la Marina de Port,Dona,40-44 anys,66
2007,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,40-44 anys,0
2007,3,Sants-Montjuïc,11,el Poble Sec,Dona,40-44 anys,182
2007,2,Eixample,10,Sant Antoni,Dona,40-44 anys,178
2007,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,40-44 anys,67
2007,8,Nou Barris,51,Verdun,Dona,35-39 anys,40
2007,8,Nou Barris,50,les Roquetes,Dona,35-39 anys,31
2007,8,Nou Barris,49,Canyelles,Dona,35-39 anys,12
2007,3,Sants-Montjuïc,16,la Bordeta,Dona,35-39 anys,68
